"Party Name","GST/IN","Email/EmailCC","Phone/Mobile Numbers","Address"
"Auditor Fees",,"","",""
"Axis Bank",,"","7010717799
","Subha Complex, Srirangam
Trichy"
"B.Karunanidhi",,"","",""
"Bag Purchase",,"","",""
"Banana Leaf Restaurant - Arputha Bhavan","33AAKPM2408G1Z0","","8667213249
","No.1A, GF, Everest Park Residency, TVS Toll Gate Rd,
Subramaniyapuram
Trichy"
"Banana Leaf Restaurant _ Tolgate","33AAJFB8543J1ZA","","","No,11,12,14, Matha Nagar,
NH Road, No.1, Tolgate, Trichy"
"Banana Leaf Restaurant _ TVK","33AAKPM2408G1Z0","","7373122200
","No. 1,Near Sugam Hospital, Trichy,"
"Banana Leaf Restaurant_Kattur","33AAQFB5607A1ZV","","8667213249
","Raj Nagar, Trichy - Tanjore Rd, near Karnataka Bank,
Amman Nagar, Pappakurichi Kattur, Agaram,
Trichy"
"Banana Leaf Restaurant_Kohinur Theatre Rd","33AAJFB8543J1ZA","","8667213249
","No.3, Kohinur Theatre Road,
Trichy"
"Banana Leaf Restaurant_Madurai Rd","33AAKPM2408G1Z0","","","Madurai Rd, Near Holy Cross College,
Trichy"
"Banana Leaf Restaurant_Srinivasa Nagar","33AAKPM2408G1Z0","","","Near CANARA BANK RAMALINGA NAGAR Branch,
Srinivasa Nagar North,
Thillainagar, Trichy"
"Banana Leaf Restaurant_TVS Toll Gate Rd","33AAKPM2408G1Z0","","8667213249
","No.1A, GF, Everest Park Residency, TVS Toll Gate Rd,
Subramaniyapuram, Trichy"
"Bank Fee and Charges",,"","",""
"BC Agencies",,"","9443710307
","10 Trichy Road, Musiri"
"Best Buy Super Market",,"","","727/1, Masthan Street, Manapparai"
"BG Naidu Sweets P Ltd","33AAHCB4051C1ZA","","9385413141
","29, Elango Street, Sangliyandaarpuram, Trichy"
"Bishop Heber College",,"","9750322122
","Puthur, Trichy"
"Bismi Cake Corner",,"","9659082107
","No.26, A/5, MP Complex
Vasantha Nagar, Udayanpatti Main Road,
Trichy"
"Blessing","33FIUPR1684C1ZV","","9787612229
","JMJ Convent School, 56, Blessing Cargo Complex,
Pasumai Nagar, Airport,
Trichy"
"Box - Frieght",,"","",""
"Box File",,"","",""
"Box Purchase",,"","",""
"BSNL",,"","",""
"cool House",,"","9600291117
","Krishnapuram, Gandhi Market, Trichy"
"customer",,"","",""
"customer - Arun",,"","9629897978
",""
"customer - Ganesan",,"","9361181211
",""
"customer - Kattur",,"","9942041333
",""
"customer - Renganathan",,"","",""
"customer - Tamizh",,"","9976844447
",""
"customer - Vignesh school",,"","",""
"C2FODiscount + Rate Difference",,"","",""
"Cafe Point","33AASFC8302R1ZV","","","No.52, Karur bye pass road, Periya Vadavoor,
Annamalai Nagar,
Trichy"
"Canteen Cauvery College",,"","9842855155
","Annamalai Nagr, Trichy"
"Cascade Cafe","33BPTPR8175N2ZQ","","9791819718
","55/4, Astalakshmi Nagar, Kattur,
Trichy"
"Cash",,"","",""
"Cash Sale",,"","7010577324
",""
"Catering Orders",,"","",""
"Cess @ 12.0%",,"","",""
"Cess @ 60.0%",,"","",""
"CGST",,"","",""
"CGST @ 0.05%",,"","",""
"CGST @ 0.125%",,"","",""
"CGST @ 0.75%",,"","",""
"CGST @ 1.5%",,"","",""
"CGST @ 14.0%",,"","",""
"CGST @ 2.5%",,"","",""
"CGST @ 3.0%",,"","",""
"CGST @ 6%",,"","",""
"CGST @ 6.0%",,"","",""
"CGST @ 6.9%",,"","",""
"CGST @ 7.0%",,"","",""
"CGST @ 9.0%",,"","",""
"CGST @9%",,"","",""
"Chef House",,"","8056487875
","No.6/9, Beerangi Tank Street, Trichy"
"Cheque dishnoured charges",,"","",""
"Chidambaram Frozen Foods","33FVCPS3527J1ZD","","","1st Floor, 21, 22, Dindugallar Complex, Manachanallur Main Road,
Samayapuram, Puthur,
Trichy"
"Chitty Traders",,"","9092308016
","No.17/10, Raja Street, Puvalur, Lalgudi block,
Trichy"
"Chiyazhi Pazhamudhir Solai",,"","8870635006
","No: 325, Trichy Road, Thuraiyur"
"CKS Foods Private Limited","33AAACK3708Q2ZC","","","No.59, Bishop Road, (Near Deepan Hospital) Puthur,
Trichy"
"Classic Foods",,"","9865748907
",""
"Cleaning - Outside",,"","",""
"Cleaning - Owner",,"","",""
"Coffee",,"","",""
"Cool spot",,"","9443646578
","Thanjavur Main Road, Gandhi Market, (Opp to Mosque),
Trichy"
"Cream World","33BKOPR3727E2Z0","","7092093555
","Trichy"
"CR Bakery",,"","9361759646
","Kavalkaran Street, Near Butterfly Park, Srirangam,
Trichy"
"Cup & Spoon",,"","",""
"Customer- Baskar",,"","9442212024
",""
"Customer- Pari",,"","9443312981
",""
"Customer - Alison",,"","8838425057
",""
"Customer - Arul",,"","9043760994
",""
"Customer - B.Vishnu Priyan",,"","9514325555
",""
"Customer - Bilal",,"","","Trichy"
"Customer - Chandrasekar",,"","8667808064
",""
"Customer - Chelladurai",,"","",""
"Customer - Duraimurugan",,"","",""
"Customer - Harikrupa",,"","9769002506
",""
"Customer - Karthik",,"","",""
"Customer - Krishnakumar",,"","9787390896
",""
"Customer - Lakshmanth",,"","","Srirangam,
Trichy"
"Customer - LLN",,"","7010517799
",""
"Customer - Logesh",,"","7904786007
",""
"Customer - Madhavan",,"","","Tamilnadu"
"Customer - Mohammed Siddiq",,"","9095989614
",""
"Customer - Mohan Ramasamy",,"","9025426778
",""
"Customer - Muruganandham",,"","",""
"Customer - Musiri",,"","9789588713
",""
"Customer - Raja",,"","9865608386
",""
"Customer - Saravanan",,"","8754225211
",""
"Customer - Sathish",,"","9994264623
",""
"Customer - Senthil",,"","",""
"Customer - Shanmugam",,"","9750983484
",""
"Customer - Siva",,"","",""
"Customer - Srinivasan",,"","",""
"Customer - Vignesh",,"","","Srirangam,
Trichy"
"Customer - Vigneshwaran",,"","6383400043
",""
"Customer - Vishnu",,"","8610117839
","Kattur, Trichy"
"Customer -Natrajan",,"","",""
"Customer -Prabhakar",,"","6382065099
",""
"D Mart","33AACCA8432H1ZX","","8754332448
",""
"Daily Fresh",,"","9489874793
",""
"Delivery Charges",,"","",""
"Diesel",,"","",""
"Discount",,"","",""
"Discount on Item",,"","",""
"Diwakar",,"","",""
"DMart _ TDS",,"","",""
"DMart Kottapattu","33AACCA8432H1ZX","","","Avenue Supermarts Ltd. Kottapattu, Trichy
AF Block 19, K.Sathanur, Trichy 620004"
"DMart Varaganeri","33AACCA8432H1ZX","","","Avenue Supermarts Ltd. Varaganeri, Trichy
DMart 123/1A (Part)
Trichy - 620008"
"Dr.B.K. Reth",,"","9150277774
",""
"Electrical Fittings",,"","",""
"Electricity Charges",,"","",""
"Eletrical Work - Labour",,"","",""
"Elite Paradise",,"","6383728300
","No.13/4, Sri Saradha Complex, Edumalai Road, Opp. to Uzhavar Maiyam,
Manachanallur,
Trichy"
"Employees Incentive & Petrol Allowance",,"","",""
"Employees Salaries & Advances",,"","",""
"EMI SBI",,"","",""
"Epson Black Ink",,"","",""
"Ezhil Maligai",,"","9600752021
","Ezhil Nagar, Kozhipannai, Tamil Nadu"
"Fastag",,"","",""
"Freezer",,"","",""
"Freezer Purchase",,"","",""
"Freezer Rent",,"","",""
"Fresh Pick","33AWXPM1042P1ZZ","","","No.2, Sathya Complex, Rettaivaikal, Vayalur Road,
Trichy"
"Friends Catering",,"","7010772307
",""
"Friends Maligai",,"","8072449606
","No:3, Loga Tower, Cauvery Park, Melachinthamani,
Trichy
620002"
"Frozen Feelings",,"","6381690497
","Manapparai"
"FSSAI",,"","",""
"Fun Nest",,"","9788802047
",""
"Ganapathi Catering",,"","7339374730
",""
"Ganesh Catering",,"","",""
"GCMMF",,"","",""
"GCMMF Ltd","33AAAAG5588Q1Z3","","",""
"Geetha Partner",,"","",""
"GK Store","33APPPA3443M1ZU","","","Shop No.1, Donbosco Society, Near TNLU, Nabalur, Kottaparru,
Trichy"
"Global Mart","33AVNPS7886G2ZR","","8610925259
","11/3, Singaram Pillai Colony, Koothappar Road, Thiruverumbur,
Trichy"
"Godown & Stock Insurance",,"","",""
"Godown Rent",,"","",""
"Gokul Catering",,"","9842454773
","Lalgudi, Trichy"
"Golden Delights",,"","7550043215
",""
"Good Luck Rice Flour & Oil Dhal Mill",,"","9751316393
","Manakkal, Lalgudi, Tiruchirappalli,"
"Gopaldass Automobiles",,"","9566688826
","Chennai - Trichy Highway"
"Green Sheet",,"","",""
"GR Raghavan Catering",,"","9047815566
","Srirangam,
Trichy"
"GRO Mart","33ACPPV7215F2ZC","","9003822223
","1st Cross East Thillai Nagar
Trichy"
"GS Foods",,"","9940048635
","Plot 48A, Beschi Nagar, Woraiyur, Near Vekkaliamman Koil
Opp to Vekkaliamman Koil,
Trichy"
"GSN Traders",,"","9443432264
","Bell Nagar, NITT Bus Stop,
Trichy"
"GST Purchase",,"","",""
"GST Purchase @ 18%",,"","",""
"GST Purchase @ 5%",,"","",""
"GST Purchase @12%",,"","",""
"GST Sales",,"","",""
"GST Sales @ 12%",,"","",""
"GST Sales @18%",,"","",""
"GST Sales @5%",,"","",""
"Gulf Magic",,"","8825534588
","Poovalur Road, Lalgudi, Trichy,"
"Guru Catering",,"","9865314071
","No.24, SBI Colony, Geethapuram , Srirangam,
Trichy"
"Guru Darshan Mobiles",,"","8248868685
","No.25/66, Manimandapam Salai, Gandhi Market,
Trichy"
"Guru Hotel",,"","9489768000
","No:19, East Street, Samayapuram,
Trichy"
"Gurukrupa","33ADWPV0375J1ZW","","9886311084
","Priya Sudharshan Apartment, Melur Road, Srirangam
Trichy"
"GUJARAT CO-OPERATIVE MILK MARKETING FEDERATION LTD","33AAAAG5588Q1Z3","","","Madurai GCMMF LTD, Madurai Mangayarkarasi College
Road, No.7, Paravai Madurai 625402"
"hari",,"","8675999929
",""
"Harihara Associates","33AMBPC1598A2ZO","","9003824477
",""
"Heber Canteen",,"","9750322122
",""
"Highway Super Market","33AAJFH2593J1Z6","","","STN Complex, Trichy Chennai Main Road, Pazhuvur,
Trichy"
"Hotel Amudhu",,"","9487335043
","Royer Thoppu, Srirangam, Trichy"
"Hotel Anjappar",,"","",""
"Hotel BK SAN","33CYLPB1725Q1Z8","","9944589044
","No:19, Balaji Nagar, Kattur, Trichy"
"Hotel Blossoms","33AAYCS0926L1ZT","","7094017000
",""
"Hotel Gowri Parvathi Bhavan",,"","9894179370
",""
"Hotel Padmavathy",,"","6385268518
","No.7A, Padmavathi Complex, Tanjore Main Road, Varaganeri,
Trichy"
"Hotel Raja","33AAKPK9278L1Z1","","9994447132
","28, Rockins Road, Junction,
Trichy"
"HP Agency",,"","9842138946
",""
"Ice N Glaze",,"","9629303449
",""
"IGST",,"","",""
"IGST @ 0.1%",,"","",""
"IGST @ 0.25%",,"","",""
"IGST @ 1.5%",,"","",""
"IGST @ 12.0%",,"","",""
"IGST @ 13.8%",,"","",""
"IGST @ 14.0%",,"","",""
"IGST @ 18.0%",,"","",""
"IGST @ 28.0%",,"","",""
"IGST @ 3.0%",,"","",""
"IGST @ 5.0%",,"","",""
"IGST @ 6.0%",,"","",""
"Imayam Enterprises","33AMWPB0524E1ZH","","0431-4521595
","Jaya Nagar First Street, Lic Colony,
KK Nagar, Trichy"
"Insurance",,"","",""
"Interest SBICC",,"","",""
"Internet",,"","",""
"J.S.Stationery & Religious Articles","33IWGPK1843H1ZI","","9787693473
",""
"Janani",,"","9843193144
",""
"Janu`s Natural Club",,"","9566205294
",""
"Jayam Distributors","33ALDPD6826F2ZG","","","No.10, Vinayaka Nagar,Dindugul Main Road,
Karumandapam, Trichy - 620001"
"Jennys Hotel Pvt LTD","33AABCJ1281G1ZY","","",""
"Jerinz Treat",,"","8870770081
","No.5/363 B1, Tamilnadu law College, University Road, Vijayanagaram,
Navalur Kuttappattu, Srirangam,
Trichy"
"Jeyam Sweets and Bakery",,"","","Tamilnadu"
"Jeyashree Marketing Agencies","33BODPM7084J1ZO","","","Tamilnadu"
"JNC Enterprises",,"","9789468646
","18 degree I Cream zone, #7, Jamal Mohamed College Complex,
Rac course Road, Khaja Nagar, Trichy"
"Joy Store","33AZWPN3222A1ZM","","9384646292
","No.4/1A, Kudi Street, North Paganur,
Trichy"
"Juice - Ramesh",,"","",""
"Juice & Spice",,"","9659162327
",""
"Juice World",,"","9952405083
",""
"karthik",,"","9159986362
",""
"kavenders",,"","",""
"K V Marketing","33AOJPT8253P2Z2","","8807272418
",""
"K.K. Nagar - Udayan Pati",,"","9788802047
",""
"K.S.Maligai",,"","9442940087
","No.1/171A, Gandhi Nagar, Pudukudi, Melavaladi, Lalgudi,
Trichy"
"K.Vignesh",,"","",""
"K.Vignesh SI",,"","",""
"Kaavya Home Needs (2K Market)","33AAMFK2373G1ZD","","9600944346
","Needs Shopping Centre, NITT
Trichy"
"Kalaimagal Fancy Stores",,"","9047323855
","15, Keezha ambikapuram, Rail Nagar, Trichy"
"Kamatchi Super Market",,"","9944394884
","Balaji Nagar, Trichy"
"Kandhasamy Rice Store",,"","8760073146
",""
"Karpagam Restaurant","33AGJPR1033M1ZC","","8508889995
",""
"Karunanithi Enterprises","33AFAPC7562E2ZW","","9488184156
","No.252/2A, NH - 45, Trichy Bye Pass Road, Samayapuram,
rungalur Village, Trichy"
"Kauvery Hospital",,"","9659657414
",""
"Kaveri Greens",,"","",""
"Kavya Home Needs (Nilgris)","33AAMFK2373G1ZD","","9677099619
",""
"Keventers",,"","8807432011
",""
"KG Enterprises 1","33AATFK1805C1ZN","","7010157577
","No.81/1, Subha Complex, Ammamandapam Road, Srirangam.
Trichy"
"KG Enterprises 2","33AATFK1805C1ZN","","",""
"KG Enterprises 3","33AATFK1805C1ZN","","6379802922
","No:1, Thondaiman Colony, Simco Meter Road,
Trichy"
"KG Ramya",,"","",""
"KG Sales",,"","",""
"KIngs Bake",,"","7639277171
",""
"KJ Harshini Catering",,"","9940946679
",""
"Knife",,"","",""
"Krish Cakes",,"","8778758685
",""
"Krish Kreams","33AISPM2306H1ZC","","9842419968
","No. 6/1, New Karur By-Pass Road, Trichy"
"Krishna Juice",,"","9843387377
",""
"Krishna Sweets",,"","9943029840
",""
"Kumudham Department Store","33AACFK3181G1ZN","","9600852375
",""
"Kumudham Department Store - K.K. Nagar","33AACFK3181G1ZN","","","No.6, S.M. K. Flats, Anbil Dharmalingam Road,
K.K.Nagar,
Trichy"
"Kumudham Department Store - THILLAINAGAR","33AACFK3181G1ZN","","9942436222
","PLA Kanagu Towers, 11th Cross, Thillainagar, Trichy"
"KUMUDHAM SUPER MARKETS","33AAVFK4386Q1ZA","","9003375000
","152/5, Vayalur Main Road, Near Vasan Nagar, Uyyakondanthirumalai,
Trichy"
"L.Lakshmi Narasimman",,"","",""
"L.Senthil Kumar",,"","",""
"L.Senthil Kumar (Adv)",,"","",""
"L.Senthil Kumar OT",,"","",""
"L.Senthil Kumar SI",,"","",""
"L4 Bakery & Hot Chips",,"","9629883168
",""
"Lakshmanth",,"","",""
"Lakshmi Stores",,"","9443309972
","No.33, Renga Nagar , Near Achutham Apartment Srirangam,
Trichy"
"Lakshminarasimman",,"","",""
"Lassi Bay - Tennur",,"","9659637022
","GF24, Baba Towers Tennur Highway Road
Trichy"
"Lassibay - Melaputhur",,"","7338981537
",""
"Lava cakes",,"","9344578138
",""
"Limber Hospitality Private Ltd","33AADCL8328E1ZO","","7338831010
","No:17/1, Sri Nagar, Trunk Road, T.V.Koil
Trichy"
"LIYAN HOTEL",,"","8248174988
",""
"melita Foods",,"","9025265933
",""
"M.K",,"","","Tamilnadu"
"M.K.M Chat Corner",,"","9092491755
","No.67, Ulagammeper Church Road,
Palakarai,
Trichy"
"M.Mahalakshmi",,"","",""
"M.Mahalakshmi SI",,"","",""
"M.S.K cooldrinks",,"","8883543156
","No.2, Bishop Heber School Campus, Puthur,,
Trichy"
"M.Saravanan",,"","",""
"M/S.Arab Spices Restaurant","33AAPCA0707J1ZT","","9626699910
",""
"Mahan Catering",,"","9443565662
",""
"Maharaja General Stores","33ABRFM5061F1Z7","","",""
"Maharaja Milk Store",,"","9688339053
","No.6, North Devi Street,
Srirangam,
Trichy"
"Maharaja Milk Store - Freezer",,"","",""
"Maheswari Cooldrinks",,"","9842455643
","No.23, Chinna kadai Street,
Trichy"
"Mala Super Market","33APPPM1289R1Z0","","9344958352
",""
"Malolan Catering",,"","8525015142
",""
"Mangai Department Store","33APZPM6480J1Z3","","9750114441
",""
"Mangal and Mangal","33AAIFM3378B1ZI","","",""
"Mani Beedas & Icecream",,"","9894865802
",""
"Manikandan",,"","",""
"Marudham Maligai Mart","33ABOFM4514E1ZG","","9443141421
",""
"Maruthi Hospital Canteen",,"","9944577112
",""
"Meat & Eat",,"","9840951132
",""
"Mecca Grills Restaurant",,"","9786455527
","Kattur,
Trichy"
"Meenakshi Medical Stores",,"","9003747775
",""
"Mega Star Theatre",,"","9965108739
","Salai Road, Trichy,"
"Melting Point",,"","9677619155
","Oppt Municipal Office,Manapaarai"
"Milk Point",,"","8015525508
",""
"Minor cooldrinks",,"","9786348644
","V.Kalathur, Perambalur dt,"
"Miscellaneous",,"","",""
"Modern",,"","",""
"Mr.Cool","33ABKFM1845J1Z5","","9677456016
","Mam College, siruganur,
Trichy"
"Mr.Milkshake",,"","9842815033
",""
"Mr.Protein",,"","8344911874
","No.1, Tolgate, Trichy"
"Mr.Sivam",,"","9626364619
","No.12, Old Kumbakonam Salai, T.V.Koil, opposite to Andavar Koil,
Trichy"
"Mugil Fine Arts Academy",,"","9787737989
","No.1, Tolgate Trichy"
"Muthamizh Snacks",,"","9994544512
",""
"MURALI STORE",,"","9842471999
","1/107a venkatesh nagar,keela valady,lalgudi(tk),
Trichy"
"MUTHUKUMAR",,"","9842565094
",""
"Nagaraj - Melachinthamani",,"","9047617275
",""
"Nahul traders",,"","9787767766
",""
"Nalabagam Caterers",,"","9994957371
",""
"Nandhini",,"","9994018914
",""
"Nature Super Market",,"","8778481343
","Jai Nagar, Thiruverambur, Trichy,"
"Neethi Arasan",,"","",""
"Nellai Groups",,"","9894263483
",""
"New Lakshmi Stores",,"","9942019172
",""
"New Malliga Stores",,"","9787350006
","Puthur, Trichy"
"New Saravana Super Store",,"","","Tamilnadu"
"NFS Foods",,"","6384438444
",""
"Niche Catering",,"","9994399964
",""
"Nithiyanantha",,"","9442345678
",""
"Nithyakalyan Catering Services",,"","",""
"Noor Sweets & Bakery",,"","8870046699
","No.52, Main Road, Kallakudi, Trichy,"
"Ooty Fresh","33AEUPV7169K2ZF","","9884719155
","No.4, Dindugal Main Road, Opp. National College, Ponnagar,
Trichy"
"Oviyan Milk Shop",,"","9962274768
","No.217, Ganeshapuram,
Near BHEL Township ,
Trichy"
"Oviyan Milk Shop - Freezer",,"","",""
"Painting",,"","",""
"Parasakthi Stores",,"","",""
"Parthiban",,"","8300112264
",""
"Parvathi Chaat",,"","9443948794
","Periya Kammala Street, Trichy"
"Pasumai Pazhamudhir Solai",,"","9944198895
","Opp to head Post Office, Near Cantonment,
Trichy"
"Petrol",,"","",""
"Pizza House",,"","9551646410
",""
"Plastic Container - Aswins",,"","",""
"Plum Caffe",,"","9842431013
","No.9B, 20/1, Ground Floor,
Opp Dr.Agarwal Eye Hospital,
Sastri Road, Thillainagar,
Trichy"
"Ponni Super Market","33AAZFP4228N1ZI","","7373731315
",""
"Pooja Expenses",,"","",""
"Pothys Retail Private Limited","33AALCP2218B1ZX","","","No.15 West BouleWard Road,
Trichy"
"Pramila Agency","33CRTPP6523P1ZW","","9486063340
","Infant Jesus Complex, Langara Annai Thirumana Mandapam,
Maruti Nagar, No.1, Tolgate,
Trichy"
"Praveen Fruits","33EOEPP4985P1Z1","","9080050700
","Vadukku Madhavi Road, Perambalur,"
"Princess Biriyani",,"","6305429059
",""
"Printing & Stationary",,"","",""
"Prithivika Stationery",,"","",""
"Profit & Loss A/c",,"","",""
"Punjabi Dhabha",,"","","Tamilnadu"
"Raghavendra",,"","9994068122
",""
"Raj Barath",,"","9788995986
",""
"Raj Snacks","33BMQPR5635D1ZU","","8883334810
","No.3/168, Vivek Nagar,
Manjathidal, M.K.Kottai, Thiruverambur,
Trichy"
"Raja Fruits & Snacks",,"","9677913826
","No.11, Vadakuvasal, Kollidam Road, Srirangam,
Trichy"
"Raja Ganapathi",,"","8838744299
",""
"Raja Store",,"","9080889841
","46/10, Butter Thoppu, Vadakuvasal,
Srirangam, Trichy"
"Raksha Agencies",,"","9600359489
",""
"Rani Vilas Food Products","33BMLPV0297G1ZP","","8111004816
","Manjathidal, Sree Nagar,
Mela Kalkandar Kottai,
Trichy"
"Rani Vilas Foods & Raj Snacks","33BMLPV0297G1ZP","","8111004844
","No.2, Rajappa Nagar East, Rail Nagar bus stop, Near mangalyam mahal,
Ariyamangalam, Trichy"
"Ranjith Enterprises",,"","8508581955
","62/10, Soorampatti Road, Thumbalam Post, Musiri Taluk Trichy"
"Ranjithkumar",,"","8508581955
",""
"Rasi & Co","33BKXPS4444N2Z7","","9524248189
",""
"RAMESWAR VETIVER Eco Handicraft & RV Aroma",,"","9842453102
","A 123 B, Jai Nagar, Near Sai Baba Temple,
BHEL, Trichy"
"Reliance Retail Limited - 2747","33AABCR1718E1ZW","","","No.65, Heber Road, Bheema Nagar,
Trichy"
"Reliance Retail Limited - 2829","33AABCR1718E1ZW","","6381977419
","No.12, Mahalakshmi Nagar, EVR Salai
KK Nagar Main Road, Saranya Complex,
Trichy"
"Reliance Retail Limited - 2855","33AABCR1718E1ZW","","9585475562
","No.9, Srinivasa Nagar, Vayalur Main Road,
Trichy"
"Reliance Retail Limited - 6214","33AABCR1718E1ZW","","7010221148
","Mangalam Towers, No.9, Reynolds Road,
Cantonment, Trichy"
"Reliance Retail Limited - TND7","33AABCR1718E1ZW","","8668094895
","Sy No. 2083 Ariyamangalam Village,
Tanjore Main Road,
Trichy"
"Reliance Retail Limited - TXPF","33AABCR1718E1ZW","","6381520223
","Dindigul Main Road, Ponnagar,
Trichy"
"Reliance Retail Limited - U26P","33AABCR1718E1ZW","","","GF, Reliance Smart Point,
Indhumathi Kalyana Mandapam,
Trichy-Chennai Road, No.1, Tolgate,
Bikshandar Koil, Trichy"
"Reliance Retail Limited - U29R","33AABCR1718E1ZW","","","GF, Reliance Smart Point
Andal Navanethas, No.4A, Ammamandapam,
Extn. 2nd Street, Srirangam,
Trichy"
"Reliance Retail Limited - U419","33AABCR1718E1ZW","","","Aishwarya Site,
No.3/1, Kumbakonam Salai,
Trichy"
"Reliance Retail Limited - U486","33AABCR1718E1ZW","","6381439626
","Indian Bank Colony, Sanjay Arcade
Trichy"
"Renganathan",,"","",""
"Renuka Stores",,"","8270269563
",""
"Repair & Maintanance",,"","",""
"Revathy Agency",,"","7010942765
",""
"Rithesh",,"","",""
"RNM Events",,"","9842642691
","Varaganeri,
Trichy"
"Round off",,"","",""
"Royal Bakery",,"","9025232149
",""
"Royal Super Market","33BYGPA3227C1Z7","","9790230310
",""
"RR Beda",,"","",""
"RSR Wedding Events",,"","9944260926
","Karumandapam
Trichy"
"signature",,"","9442909402
",""
"subiksham-plr",,"","9843716984
",""
"S.S.Theeran",,"","","Malvai, Dalmia, Tiruchirappalli, Tamil Nadu, 621652"
"S.Tamizh Azhagan",,"","",""
"S.Tamizh Azhagan (Adv)",,"","",""
"S.Tamizh Azhagan OT",,"","",""
"S.Tamizh Azhagan SI",,"","",""
"Sai Varahi Juice Shop",,"","","Andal Street, Trichy"
"Saitjee Chaats",,"","9944848939
","No.12A, Raghavendrapuram, Srirangam, Trichy"
"Sakthis Kitchen Pvt Ltd",,"","7373929388
","IIM Trichy, Pudukkottai Main Road, Chinna Sooriyur, Village,
Sooriyur,"
"Saleem - Ajji",,"","",""
"Salesman",,"","",""
"Sangu Chakra Hotels Pvt. Ltd.,","33AADCM2094G1ZO","","9940561126
","Courtyard by Marriott Tiruchirappalli, Collector's Office Road,
Cantonment, Trichy"
"Santhosh Catering",,"","9789962926
","Varaganeri, Trichy"
"Saro Catering",,"","",""
"Sasikala.s",,"","9865386616
",""
"Sastra Annadhanam",,"","9940173126
",""
"Savithri Catering",,"","9242540333
",""
"SBI CC",,"","7010217799
","Cantonment, Trichy"
"SBI Current Account CA",,"","","Srirangam"
"SBI Term Loan",,"","",""
"Scooping Persons",,"","",""
"Senthil Agencies","33BKEPS2987M1ZH","","7339110779
","No.19, 3rd Cross, Natarajapuram South,
Thankavur"
"SEM Traders",,"","9952469001
","No.23/10, Vijay Avenue, Melur Road, Srirangam,
Trichy"
"SGST",,"","",""
"SGST @ 0.05%",,"","",""
"SGST @ 0.125%",,"","",""
"SGST @ 0.75%",,"","",""
"SGST @ 1.5%",,"","",""
"SGST @ 14.0%",,"","",""
"SGST @ 2.5%",,"","",""
"SGST @ 3.0%",,"","",""
"SGST @ 6.0%",,"","",""
"SGST @ 6.9%",,"","",""
"SGST @ 7.0%",,"","",""
"SGST @ 9.0%",,"","",""
"SGST @6%",,"","",""
"SGST @9%",,"","",""
"Shameen General Store",,"","8807557219
","Check Post, Srirangam, Trichy"
